ObservationDate,Confirmed,Deaths,Recovered
2020-08-04,0.01407093122963991,0.024619969689309934,0.037115542646832506
2020-08-05,0.014229176022044513,0.024847662118715703,0.03830189693962266
2020-08-06,0.014404133873277533,0.025137338359021044,0.03880615577339516
2020-08-07,0.01457939458254351,0.025332548133094632,0.039418995445923
2020-08-08,0.014741097249188477,0.025500453646164357,0.039886235326173955
2020-08-09,0.014878827085321816,0.025582523350216196,0.0402199156770639
2020-08-10,0.015018976845349558,0.025681226684534757,0.04055711586287885
2020-08-11,0.015160929051728781,0.025841129224551625,0.04163018002053126
2020-08-12,0.01532436653623243,0.02607604002180899,0.04257203929701387
2020-08-13,0.015474984010797324,0.026244730140079976,0.043079089724002755
2020-08-14,0.015667125379939084,0.02645453357089701,0.04360531718265198
2020-08-15,0.015807313364767102,0.02661161153218934,0.044144240321754825
2020-08-16,0.015924786997123352,0.026707804129863868,0.044497194803199594
2020-08-17,0.016030834354566297,0.02678422467646663,0.04528643889227895
2020-08-18,0.01616360966851,0.02697582526661442,0.046077285113117275
2020-08-19,0.016300951375902074,0.027188924039276745,0.04673003243127751
2020-08-20,0.01643027469634392,0.02736185102563454,0.04726373650480191
2020-08-21,0.016575928827611424,0.02753367956471057,0.04770119129917029
2020-08-22,0.01670424360139983,0.027677733079661978,0.04819707535329366
2020-08-23,0.016805751028717675,0.0277624704413981,0.048495096135184816
2020-08-24,0.01691431534224034,0.027836851014477585,0.04905373034986766
2020-08-25,0.017032574053186877,0.02803096234126941,0.04985297562507874
2020-08-26,0.017160688881866146,0.028212833826921573,0.050599811771992756
2020-08-27,0.01729488439415857,0.028389683839285668,0.05100910788696114
2020-08-28,0.017433440474051723,0.028542995695611948,0.05142277345218124
2020-08-29,0.017563110758065305,0.028684381552879074,0.05196281322857064
2020-08-30,0.017664256519965154,0.028754525257871755,0.05228627392081628
2020-08-31,0.017774532128392487,0.028832358093836784,0.053036023034564776
2020-09-01,0.017900085895453256,0.02899398676529643,0.053469035554510574
2020-09-02,0.018018047629105343,0.029163932251889433,0.05417528436353081
2020-09-03,0.018126482566380917,0.029326345528550336,0.055029754634978945
2020-09-04,0.018275832741798195,0.029476362043031324,0.0554302147505494
2020-09-05,0.018404035781555025,0.02959813277026694,0.0558849531481357
2020-09-06,0.018496463348622667,0.02967078721190365,0.05622013853189013
2020-09-07,0.018567576178982494,0.029715666629415747,0.05664630557977489
2020-09-08,0.018647195497588386,0.029785810334408427,0.057266767515519616
2020-09-09,0.018749261595064112,0.02997144792502664,0.05795539287519123
2020-09-10,0.018853109556306556,0.030114559913736537,0.058344565244278064
2020-09-11,0.018992782976515472,0.03029800060979122,0.05869332019853646
2020-09-12,0.019115334626569943,0.03040894378524944,0.05910065006089157
